CustomerID,Name,Email,Gender,Age,City,MaritalStatus,NumChildren,JoinDate
CUST10000,Onkar Bhargava,pkeer@yahoo.com,Male,54,Delhi,Divorced,0,2021-02-22
CUST10001,Divit Kohli,mkalita@sarin.com,Female,48,Kolkata,Married,0,2023-12-06
CUST10002,Kiara Behl,apteanay@hotmail.com,Male,75,Kolkata,Widowed,2,2023-08-23
CUST10003,Vaibhav Sankar,bseshadri@choudhry.info,Male,62,Pune,Divorced,2,2022-11-17
CUST10004,Shray D’Alia,bdhillon@toor-mall.com,Male,55,Delhi,Divorced,0,2022-12-04
CUST10005,Fateh Sharaf,qkulkarni@gmail.com,Male,59,Jaipur,Single,3,2021-05-13
CUST10006,Khushi Wadhwa,craja@yahoo.com,Female,61,Hyderabad,Widowed,2,2021-11-12
CUST10007,Zeeshan Salvi,ira51@saini-kumar.com,Not Disclosed,32,Pune,Widowed,1,2021-08-10
CUST10008,Elakshi Trivedi,ayesha07@gmail.com,Female,32,Hyderabad,Widowed,4,2023-11-20
CUST10009,Neelofar Chada,abramsolanki@madan.com,Male,44,Jaipur,Single,0,2021-11-20
CUST10010,Kashvi Goda,nirvi89@hotmail.com,Not Disclosed,73,Ahmedabad,Single,2,2022-04-18
CUST10011,Vardaniya Varty,aaryahibala@virk-gopal.org,Not Disclosed,63,Jaipur,Widowed,1,2020-08-06
CUST10012,Dishani Jhaveri,zeeshan50@hotmail.com,Not Disclosed,30,Ahmedabad,Divorced,1,2022-12-07
CUST10013,Amira Rama,myrachakrabarti@master.com,Female,72,Jaipur,Widowed,1,2022-11-15
CUST10014,Arhaan Trivedi,vigadvik@amble-shroff.com,Male,48,Hyderabad,Widowed,1,2023-12-21
CUST10015,Faiyaz Sur,riaan12@datta.com,Male,41,Jaipur,Divorced,0,2021-08-20
CUST10016,Neelofar Sawhney,usarna@yahoo.com,Not Disclosed,50,Delhi,Married,1,2023-05-15
CUST10017,Anay Dugal,aaina34@gmail.com,Female,41,Pune,Single,1,2022-08-03
CUST10018,Mahika Kalita,advikissac@badami.com,Female,63,Lucknow,Widowed,2,2021-08-26
CUST10019,Inaaya  Thaman,hchoudhury@aurora.org,Male,50,Hyderabad,Single,2,2022-06-21
CUST10020,Nirvi Raval,shanrohan@gmail.com,Not Disclosed,73,Jaipur,Married,1,2023-12-29
CUST10021,Ryan Banik,rohan26@date.net,Female,72,Lucknow,Divorced,1,2021-06-23
CUST10022,Kiara Tank,xchada@rastogi.biz,Female,60,Jaipur,Single,1,2024-04-24
CUST10023,Divyansh Chauhan,bhaminiben@hotmail.com,Not Disclosed,50,Bangalore,Married,1,2021-06-05
CUST10024,Dishani Krish,manjari64@brar.com,Male,48,Chennai,Married,3,2022-03-26
CUST10025,Shayak Kala,pari16@gera.net,Female,49,Chennai,Widowed,1,2024-01-10
CUST10026,Chirag Seshadri,bhavsarjayan@luthra.com,Not Disclosed,52,Lucknow,Divorced,1,2022-08-20
CUST10027,Kismat Kulkarni,shayak51@yahoo.com,Male,69,Hyderabad,Married,1,2023-10-21
CUST10028,Himmat Mann,arnav61@verma-subramaniam.com,Male,73,Delhi,Divorced,0,2021-07-29
CUST10029,Shlok Bhandari,mangalira@gmail.com,Not Disclosed,22,Delhi,Single,1,2024-02-06
CUST10030,Priyansh Gopal,karnikraghav@gmail.com,Female,33,Ahmedabad,Single,2,2022-12-25
CUST10031,Ritvik Ahuja,jhaverifarhan@chandra.org,Male,40,Ahmedabad,Single,0,2023-12-03
CUST10032,Farhan Kar,indranilsharaf@kalla.net,Female,51,Bangalore,Divorced,2,2022-05-14
CUST10033,Ira Date,divyansh35@gmail.com,Female,47,Chennai,Widowed,1,2024-06-10
CUST10034,Vedika Divan,uhayre@yahoo.com,Male,37,Kolkata,Divorced,1,2020-09-09
CUST10035,Samar Rama,dassmadhav@hotmail.com,Male,34,Delhi,Divorced,3,2020-11-03
CUST10036,Nitara Gokhale,hrishitachawla@yahoo.com,Not Disclosed,31,Lucknow,Widowed,2,2023-11-19
CUST10037,Taran Baria,shettyalia@gmail.com,Male,32,Mumbai,Widowed,0,2021-06-03
CUST10038,Manikya Hayer,gadekabir@yahoo.com,Not Disclosed,28,Pune,Widowed,1,2023-05-07
CUST10039,Nirvaan Ganesh,dasmadhup@swamy.biz,Male,58,Jaipur,Widowed,0,2023-12-12
CUST10040,Ishita Vig,aptemyra@dhillon.info,Not Disclosed,19,Kolkata,Divorced,2,2020-11-18
CUST10041,Divyansh Krishna,kumarnitya@gmail.com,Female,21,Ahmedabad,Married,4,2022-07-27
CUST10042,Hridaan Tara,emir89@yahoo.com,Male,37,Delhi,Single,1,2021-05-03
CUST10043,Hridaan Mahajan,misha83@doctor.net,Female,65,Bangalore,Widowed,1,2021-02-10
CUST10044,Riya Venkataraman,vanya17@maharaj-dass.net,Male,18,Jaipur,Single,1,2021-03-31
CUST10045,Aayush Hora,pranaykibe@gmail.com,Male,75,Lucknow,Widowed,0,2022-06-11
CUST10046,Kaira Andra,kavya29@biswas.com,Not Disclosed,57,Jaipur,Single,1,2023-12-12
CUST10047,Jayant Ramesh,aradhyaaggarwal@lalla.net,Female,24,Hyderabad,Widowed,1,2022-04-07
CUST10048,Piya Reddy,sakshamkota@khatri.biz,Female,24,Kolkata,Divorced,1,2024-05-16
CUST10049,Neelofar Choudhary,singhdiya@vyas.net,Male,38,Lucknow,Widowed,3,2022-01-03
CUST10050,Sahil Dixit,ivan79@gmail.com,Male,28,Hyderabad,Divorced,2,2023-10-31
CUST10051,Mahika Kurian,indransdass@yahoo.com,Not Disclosed,68,Bangalore,Divorced,1,2024-03-20
CUST10052,Bhamini Sangha,veer82@hotmail.com,Female,61,Delhi,Widowed,3,2021-07-02
CUST10053,Eshani Bath,deolsara@gmail.com,Female,74,Jaipur,Widowed,2,2023-09-05
CUST10054,Ahana  Varghese,bsuresh@butala-gaba.info,Not Disclosed,33,Delhi,Single,0,2021-03-02
CUST10055,Lakshit Bhasin,qbhargava@yahoo.com,Male,28,Jaipur,Married,0,2021-02-10
CUST10056,Uthkarsh Shere,evakanda@anne.org,Female,56,Jaipur,Divorced,1,2021-10-03
CUST10057,Lagan Chadha,hrishitachaudhry@yahoo.com,Female,25,Ahmedabad,Married,3,2021-08-09
CUST10058,Pihu Kapoor,ayesha61@mangal.com,Not Disclosed,67,Pune,Married,1,2021-11-24
CUST10059,Zara Arora,mahajanritvik@sidhu.com,Male,38,Mumbai,Widowed,0,2021-10-13
CUST10060,Kaira Swaminathan,rkrishnamurthy@yahoo.com,Male,71,Bangalore,Divorced,0,2020-11-22
CUST10061,Aarav Bhatia,tgill@hotmail.com,Not Disclosed,68,Kolkata,Single,1,2023-10-20
CUST10062,Vardaniya Setty,sabharwaluthkarsh@yahoo.com,Male,54,Delhi,Divorced,1,2022-04-10
CUST10063,Ranbir Ravi,hrama@sharma-sawhney.com,Female,54,Jaipur,Single,1,2021-06-10
CUST10064,Alisha Rao,eshani06@kala.org,Female,24,Mumbai,Divorced,0,2023-07-25
CUST10065,Bhamini Sharma,mohanlal06@rau.biz,Not Disclosed,18,Delhi,Widowed,0,2023-01-22
CUST10066,Jayesh Sinha,ghoshprerak@jha.net,Male,30,Hyderabad,Widowed,0,2023-11-26
CUST10067,Anahi Thaman,dchad@hotmail.com,Female,28,Hyderabad,Married,2,2021-11-12
CUST10068,Diya Bawa,goeldarshit@hotmail.com,Male,45,Kolkata,Divorced,1,2020-10-07
CUST10069,Ivan Kulkarni,iyermyra@devi.com,Not Disclosed,48,Chennai,Single,0,2022-06-16
CUST10070,Miraan Wali,darshit18@hotmail.com,Female,20,Mumbai,Single,2,2022-10-27
CUST10071,Diya Mallick,rohansachdeva@saxena.com,Female,64,Lucknow,Divorced,1,2022-02-20
CUST10072,Vihaan Mand,anyasubramanian@yahoo.com,Female,43,Delhi,Single,3,2022-02-01
CUST10073,Saanvi Choudhry,nitaraaurora@hotmail.com,Not Disclosed,47,Delhi,Divorced,0,2024-04-05
CUST10074,Adah Sidhu,kanav12@kapadia.com,Not Disclosed,67,Jaipur,Widowed,2,2022-04-15
CUST10075,Amira Lall,vanyabiswas@kannan.biz,Female,29,Jaipur,Married,1,2023-02-25
CUST10076,Saanvi Chauhan,beramanikya@yahoo.com,Male,41,Delhi,Divorced,0,2021-08-06
CUST10077,Divyansh Chander,tailorkimaya@walia.com,Female,23,Lucknow,Divorced,3,2021-12-10
CUST10078,Shlok Saini,rameshrania@gmail.com,Female,37,Mumbai,Divorced,0,2022-09-05
CUST10079,Yakshit Dada,wgulati@gmail.com,Not Disclosed,75,Ahmedabad,Married,1,2020-12-23
CUST10080,Raunak Kashyap,alishasehgal@yahoo.com,Not Disclosed,57,Lucknow,Single,0,2021-07-23
CUST10081,Kiara Bhakta,bajajabram@varughese.com,Male,69,Hyderabad,Widowed,0,2021-12-23
CUST10082,Kavya Dhawan,wbuch@borra.com,Not Disclosed,73,Delhi,Single,0,2024-05-09
CUST10083,Nitya Madan,idatta@kashyap.com,Male,36,Chennai,Widowed,1,2022-03-22
CUST10084,Armaan Loyal,arnavdevan@kalita.com,Male,24,Jaipur,Divorced,0,2024-06-05
